id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
aubameyang,Pierre-Emerick,Aubameyang,🇬🇦,Gabon,540,4,0,0,0,0,4,0,0.67,0.00,0.67,0.67,7,57.1%,inactive
bartra,Marc,Bartra,🇪🇸,Spain,350,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5,0.0%,inactive
burki,Roman,Bürki,🇨🇭,Switzerland,540,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,7,0.0%,active
castro,Gonzalo,Castro,🇩🇪,Germany,132,0,1,1,0,1,1,0,0.00,0.68,0.68,0.68,1,100.0%,inactive
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,192,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,active
gotze,Mario,Götze,🇩🇪,Germany,370,0,1,1,0,1,1,0,0.00,0.24,0.24,0.24,4,25.0%,inactive
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,252,1,0,0,1,1,2,0,0.36,0.36,0.71,0.71,4,50.0%,active
isak,Alexander,Isak,🇸🇪,Sweden,8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,inactive
kagawa,Shinji,Kagawa,🇯🇵,Japan,402,0,2,3,0,3,3,0,0.00,0.67,0.67,0.67,6,50.0%,inactive
papastathopoulos,Sokratis,Papastathopoulos,🇬🇷,Greece,450,1,0,0,0,0,1,0,0.20,0.00,0.20,0.20,6,16.7%,inactive
philipp,Maximilian,Philipp,🇩🇪,Germany,172,0,0,0,1,1,1,0,0.00,0.52,0.52,0.52,2,50.0%,inactive
piszczek,Łukasz,Piszczek,🇵🇱,Poland,180,0,0,0,1,1,1,0,0.00,0.50,0.50,0.50,2,50.0%,active
pulisic,Christian,Pulisic,🇺🇸,United States,374,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5,0.0%,inactive
sahin,Nuri,Şahin,🇹🇷,Turkey,215,0,0,0,1,1,1,0,0.00,0.42,0.42,0.42,4,25.0%,inactive
schmelzer,Marcel,Schmelzer,🇩🇪,Germany,271,0,1,1,1,2,2,0,0.00,0.66,0.66,0.66,4,50.0%,active
schurrle,André,Schürrle,🇩🇪,Germany,3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,inactive
subotic,Neven,Subotić,🇷🇸,Serbia,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,inactive
toljan,Jeremy,Toljan,🇩🇪,Germany,271,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,loan
toprak,Ömer,Toprak,🇹🇷,Turkey,338,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,inactive
weigl,Julian,Weigl,🇩🇪,Germany,325,0,0,0,1,1,1,0,0.00,0.28,0.28,0.28,3,33.3%,inactive
yarmolenko,Andriy,Yarmolenko,🇺🇦,Ukraine,377,1,1,1,0,1,2,0,0.24,0.24,0.48,0.48,4,50.0%,inactive
zagadou,Dan-Axel,Zagadou,🇫🇷,France,88,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,active
