id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
batshuayi,Michy,Batshuayi,🇧🇪,Belgium,331,2,0,0,1,1,3,0,0.54,0.27,0.82,0.82,4,75.0%,inactive
burki,Roman,Bürki,🇨🇭,Switzerland,360,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5,0.0%,active
castro,Gonzalo,Castro,🇩🇪,Germany,242,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,inactive
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,271,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
gotze,Mario,Götze,🇩🇪,Germany,226,0,2,2,0,2,2,0,0.00,0.80,0.80,0.80,3,66.7%,inactive
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,28,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
isak,Alexander,Isak,🇸🇪,Sweden,57,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,inactive
papastathopoulos,Sokratis,Papastathopoulos,🇬🇷,Greece,360,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5,0.0%,inactive
philipp,Maximilian,Philipp,🇩🇪,Germany,73,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,inactive
piszczek,Łukasz,Piszczek,🇵🇱,Poland,270,0,1,1,1,2,2,0,0.00,0.67,0.67,0.67,4,50.0%,active
pulisic,Christian,Pulisic,🇺🇸,United States,172,0,1,1,0,1,1,0,0.00,0.52,0.52,0.52,3,33.3%,inactive
reus,Marco,Reus,🇩🇪,Germany,229,0,0,1,1,2,3,0,0.00,0.79,0.79,0.79,3,100.0%,active
sahin,Nuri,Şahin,🇹🇷,Turkey,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,inactive
schmelzer,Marcel,Schmelzer,🇩🇪,Germany,224,1,0,0,0,0,1,0,0.40,0.00,0.40,0.40,2,50.0%,active
schurrle,André,Schürrle,🇩🇪,Germany,360,2,0,0,1,1,3,0,0.50,0.25,0.75,0.75,5,60.0%,inactive
toljan,Jeremy,Toljan,🇩🇪,Germany,136,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,loan
toprak,Ömer,Toprak,🇹🇷,Turkey,270,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5,0.0%,inactive
weigl,Julian,Weigl,🇩🇪,Germany,171,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,inactive
zagadou,Dan-Axel,Zagadou,🇫🇷,France,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
