id,season,first,last,g_lg,1a_lg,2a_lg,pts_lg,g_ucl,1a_ucl,2a_ucl,pts_ucl,g_uel,1a_uel,2a_uel,pts_uel,g_cup,1a_cup,2a_cup,pts_cup,g_scup,1a_scup,2a_scup,pts_scup,g_uelq,1a_uelq,2a_uelq,pts_uelq,g_all,1a_all,2a_all,pts_all
pulisic,2016-17,Christian,Pulisic,3,6,2,11,1,3,1,5,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,5,10,3,18
ramos,2016-17,Adrián,Ramos,2,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5
reus,2016-17,Marco,Reus,7,4,2,13,5,2,0,7,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,14,7,3,24
rode,2016-17,Sebastian,Rode,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
sahin,2016-17,Nuri,Şahin,0,0,2,2,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6
schmelzer,2016-17,Marcel,Schmelzer,0,2,4,6,0,3,1,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5,5,11
schurrle,2016-17,André,Schürrle,2,2,0,4,1,1,1,3,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,5,3,2,10
weidenfeller,2016-17,Roman,Weidenfeller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weigl,2016-17,Julian,Weigl,0,0,6,6,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,10
aubameyang,2015-16,Pierre-Emerick,Aubameyang,25,6,1,32,0,0,0,0,9,1,1,11,3,3,0,6,0,0,0,0,3,1,1,5,40,11,3,54
bender,2015-16,Sven,Bender,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3
burki,2015-16,Roman,Bürki,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
castro,2015-16,Gonzalo,Castro,3,7,6,16,0,0,0,0,1,2,5,8,3,2,1,6,0,0,0,0,0,0,2,2,7,11,14,32
durm,2015-16,Erik,Durm,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
ginter,2015-16,Matthias,Ginter,4,5,1,10,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,5,7,1,13
gundogan,2015-16,İlkay,Gündoğan,1,3,11,15,0,0,0,0,0,0,1,1,1,1,2,4,0,0,0,0,1,3,3,7,3,7,17,27
hofmann,2015-16,Jonas,Hofmann,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,2,3,1,6
hummels,2015-16,Mats,Hummels,2,2,6,10,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,14
januzaj,2015-16,Adnan,Januzaj,0,2,0,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,4
kagawa,2015-16,Shinji,Kagawa,9,10,10,29,0,0,0,0,0,1,3,4,1,3,1,5,0,0,0,0,3,1,1,5,13,15,15,43
kampl,2015-16,Kevin,Kampl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
leitner,2015-16,Moritz,Leitner,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
mkhitaryan,2015-16,Henrikh,Mkhitaryan,11,20,6,37,0,0,0,0,2,5,1,8,5,2,5,12,0,0,0,0,5,4,0,9,23,31,12,66
papastathopoulos,2015-16,Sokratis,Papastathopoulos,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,4
park,2015-16,Jo-hoo,Park,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
passlack,2015-16,Felix,Passlack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piszczek,2015-16,Łukasz,Piszczek,0,3,1,4,0,0,0,0,1,1,0,2,1,2,1,4,0,0,0,0,0,1,0,1,2,7,2,11
pulisic,2015-16,Christian,Pulisic,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
ramos,2015-16,Adrián,Ramos,9,5,2,16,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,10,6,3,19
reus,2015-16,Marco,Reus,13,3,6,22,0,0,0,0,5,3,2,10,2,2,0,4,0,0,0,0,4,0,2,6,24,8,10,42
sahin,2015-16,Nuri,Şahin,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
schmelzer,2015-16,Marcel,Schmelzer,0,5,4,9,0,0,0,0,0,2,2,4,0,0,1,1,0,0,0,0,0,1,2,3,0,8,9,17
stenzel,2015-16,Pascal,Stenzel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subotic,2015-16,Neven,Subotić,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
weidenfeller,2015-16,Roman,Weidenfeller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weigl,2015-16,Julian,Weigl,0,0,5,5,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,2,3,0,1,9,10
