season,match,comp,round,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_first,assist_last,assist_1st,assist_2nd,note,expanded_note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,og_scorer,og_assist_official,og_assist_1st,og_assist_2nd
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,38,38,3,0,3,Ana,Zabell,Allegra,Gerres,Gerres,,,NOTE: Missing Second Assist Data,zabell,gerres,gerres,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,56,56,4,0,4,Vanessa,Heim,,,,,,NOTE: Missing Second Assist Data,heim,,,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,82,82,5,0,5,Hannah,Goosmann,,,,,,NOTE: Missing Second Assist Data,goosmann,,,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,84,84,6,0,6,Ann-Katrin,Lau,Kimberly,Becker,Becker,,,NOTE: Missing Second Assist Data,lau,becker,becker,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,87,87,7,0,7,Vanessa,Heim,,,,,,NOTE: Missing Second Assist Data,heim,,,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,90+1,90.1,8,0,8,Hannah,Goosmann,Vanessa,Heim,Heim,,,NOTE: Missing Second Assist Data,goosmann,heim,heim,,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,8,8,1,0,1,Vanessa,Heim,,,,,Penalty,No Assists (Penalty),heim,,,,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,11,11,2,0,2,Vanessa,Heim,,,,,,No Assists (Hit shin of Marina Jung after a corner),heim,,,,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,47,47,3,0,3,Lisa,Klemann,Vanessa,Heim,Heim,,,,klemann,heim,heim,bergmann,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,48,48,4,0,4,Vanessa,Heim,,,Kaul,,,"No Official Assist (Lau cross stopped by keeper, Kaul shot off post)",heim,,kaul,lau,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,55,55,5,0,5,Carolin,Kaul,Lisa,Klemann,Klemann,,,,kaul,klemann,klemann,heim,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,68,68,6,0,6,Hannah,Goosmann,Lea,Rogge-Herper,Rogge-Herper,,,,goosmann,rogge-herper,rogge-herper,heim,,,,
2021-22,19,Kreispokal,SF,2022-04-28,Wambeler SV,Home,3,3,1,0,1,Ana,Zabell,,,,,,,zabell,,,,,,,
2021-22,19,Kreispokal,SF,2022-04-28,Wambeler SV,Home,17,17,2,0,2,Virginia,Glänzer,,,,,Direct corner kick,No Assists (Directly from Corner),glanzer,,,,,,,
2021-22,19,Kreispokal,SF,2022-04-28,Wambeler SV,Home,67,67,3,0,3,Lea,Rogge-Herper,Hannah,Goosmann,Goosmann,,,No Second Assist (headed by defender),rogge-herper,goosmann,goosmann,,,,,
2021-22,19,Kreispokal,SF,2022-04-28,Wambeler SV,Home,77,77,4,0,4,Annika,Fälker,Marina,Jung,Jung,,,,falker,jung,jung,rogge-herper,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,2,2,1,0,1,Allegra,Gerres,Annika,Billig,,,,,gerres,billig,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,6,6,2,0,2,Lea,Rogge-Herper,,,,,,,rogge-herper,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,24,24,3,0,3,Lea,Rogge-Herper,Marina,Jung,,,,,rogge-herper,jung,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,26,26,4,0,4,Annika,Billig,,,,,,,billig,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,30,30,5,0,5,Lea,Rogge-Herper,,,,,,,rogge-herper,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,31,31,6,0,6,Hannah,Goosmann,,,,,,,goosmann,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,39,39,7,0,7,Annika,Billig,,,,,,,billig,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,42,42,8,0,8,Hannah,Goosmann,Annika,Fälker,,,,,goosmann,falker,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,56,56,9,0,9,Hannah,Goosmann,,,,,,,goosmann,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,59,59,10,0,10,Hannah,Goosmann,,,,,,,goosmann,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,68,68,11,0,11,Lea,Rogge-Herper,,,,,,,rogge-herper,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,75,75,12,0,12,Lilli,Prinzen,,,,,Direct free kick,,prinzen,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,77,77,13,0,13,Vanessa,Heim,,,,,,,heim,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,81,81,14,0,14,Laura,Höhl,,,,,,,hohl,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,87,87,15,0,15,Marina,Jung,,,,,,,jung,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,89,89,16,0,16,Ana,Zabell,,,,,,,zabell,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,90,90,17,0,17,Ana,Zabell,,,,,,,zabell,,,,,,,
