id,date,opponent,comp,round,venue,gf,ga,result,stream,time,recap,fussball_de,season
17,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win,139486,15:00,https://www.bvb.de/Mannschaften/Frauen/News/8-0-Frauen-in-Asseln-mit-dem-dritten-Sieg-in-einer-Woche,https://www.fussball.de/spiel/tura-asseln-borussia-dortmund/-/spiel/02FCK031MS000000VS5489B4VSG06PAH#!/,2021-2022
18,2022-04-24,SF Ay Yildiz Derne,Kreisliga A,MD15,Home,6,0,Win,116357,15:30,https://www.bvb.de/Mannschaften/Frauen/News/BVB-Frauen-sind-Kreismeister-Platz-1-nach-6-0-gegen-Ay-Yildiz-sicher,https://www.fussball.de/spiel/borussia-dortmund-sf-ay-yildiz-derne/-/spiel/02FCK0318K000000VS5489B4VSG06PAH#!/,2021-2022
19,2022-04-28,Wambeler SV,Kreispokal,SF,Home,4,1,Win,142906,20:15,https://www.bvb.de/Mannschaften/Frauen/News/BVB-steht-nach-4-1-gegen-Wambeler-SV-im-Kreispokal-Endspiel,https://www.fussball.de/spiel/borussia-dortmund-wambeler-sv/-/spiel/02GJCVFJTS000000VS5489B4VSM5S7RJ#!/,2021-2022
20,2022-05-01,Lüner SV,Kreisliga A,MD16,Away,17,0,Win,,12:00,https://www.bvb.de/Mannschaften/Frauen/News/17-0!-BVB-schlaegt-Luenen-mit-Rekordergebnis,https://www.fussball.de/spiel/luener-sv-borussia-dortmund/-/spiel/02FCK030NG000000VS5489B4VSG06PAH#!/,2021-2022
21,2022-05-08,BV Viktoria Kirchderne,Kreisliga A,MD17,Home,7,0,Win,116359,16:30,https://www.bvb.de/Mannschaften/Frauen/News/BVB-Frauen-nach-7-0-Sieg-gegen-Kirchderne-weiter-auf-Erfolgskurs,https://www.fussball.de/spiel/borussia-dortmund-bv-viktoria-kirchderne/-/spiel/02FCK0307K000000VS5489B4VSG06PAH#!/,2021-2022
22,2022-05-22,SV Körne 83,Kreisliga A,MD18,Home,2,1,Win,147300,15:30,https://www.bvb.de/Mannschaften/Frauen/News/BVB-Frauen-siegen-2-1-durch-Goosmann-Doppelpack,https://www.fussball.de/spiel/borussia-dortmund-sv-koerne/-/spiel/02FCK02V4S000000VS5489B4VSG06PAH#!/,2021-2022
23,2022-05-25,TV Brechten II,Playoffs,PO,Neutral,4,0,Win,151878,19:30,https://www.bvb.de/News/Uebersicht/4-0-gegen-Brechten-BVB-Frauen-steigen-in-die-Bezirksliga-auf,https://www.fussball.de/spiel/borussia-dortmund-tv-brechten-ii/-/spiel/02I84R8IT4000000VS5489B3VU9O46OC#!/,2021-2022
24,2022-05-29,TV Brechten,Kreispokal,F,Home,3,0,Win,,15:30,https://www.bvb.de/News/Uebersicht/Die-BVB-Frauen-sind-Pokalsieger,https://www.fussball.de/spiel/borussia-dortmund-tv-brechten/-/spiel/02HSDTEUS4000000VS5489B4VT4FVGVG#!/,2021-2022
,2022-08-14,TuS Wadersloh,Verbands-Pokal,,Home,,,,,15:00,,,2022-2023
,2022-08-21,SF Westfalia Hagen,Bezirksliga,MD1,Away,,,,,13:00,,,2022-2023
,2022-09-04,Rot Weiss Ahlen,Bezirksliga,MD2,Home,,,,,15:00,,,2022-2023
,2022-09-11,SV Hohenlimburg 1910 II,Bezirksliga,MD3,Away,,,,,13:00,,,2022-2023
,2022-09-18,TuS Eichlinghofen,Bezirksliga,MD4,Home,,,,,15:00,,,2022-2023
,2022-09-25,TuS Germania Lohauserholz,Bezirksliga,MD5,Away,,,,,15:00,,,2022-2023
,2022-10-02,SV Eintracht Dorstfeld,Bezirksliga,MD6,Home,,,,,15:00,,,2022-2023
,2022-10-09,Wambeler SV,Bezirksliga,MD7,Away,,,,,15:00,,,2022-2023
,2022-10-23,FC SW Silschede,Bezirksliga,MD8,Away,,,,,15:00,,,2022-2023
,2022-10-30,VfL Senden,Bezirksliga,MD9,Home,,,,,15:00,,,2022-2023
,2022-11-06,Rot Weiß Unna,Bezirksliga,MD10,Home,,,,,14:30,,,2022-2023
,2022-11-13,SV Herbern,Bezirksliga,MD11,Away,,,,,13:00,,,2022-2023
,2022-11-27,PSV Bork,Bezirksliga,MD12,Home,,,,,14:30,,,2022-2023
,2022-12-04,SF Westfalia Hagen,Bezirksliga,MD13,Home,,,,,14:30,,,2022-2023
,2022-03-05,Rot Weiss Ahlen,Bezirksliga,MD14,Away,,,,,13:15,,,2022-2023
,2022-03-12,SV Hohenlimburg 1910 II,Bezirksliga,MD15,Home,,,,,15:00,,,2022-2023
,2022-03-19,TuS Eichlinghofen,Bezirksliga,MD16,Away,,,,,15:00,,,2022-2023
,2022-03-26,TuS Germania Lohauserholz,Bezirksliga,MD17,Home,,,,,15:00,,,2022-2023
,2022-04-02,SV Eintracht Dorstfeld,Bezirksliga,MD18,Away,,,,,15:00,,,2022-2023
,2022-04-16,Wambeler SV,Bezirksliga,MD19,Home,,,,,15:00,,,2022-2023
,2022-04-30,FC SW Silschede,Bezirksliga,MD20,Home,,,,,15:00,,,2022-2023
,2022-05-07,VfL Senden,Bezirksliga,MD21,Away,,,,,15:00,,,2022-2023
,2022-05-14,Rot Weiß Unna,Bezirksliga,MD22,Away,,,,,17:00,,,2022-2023
,2022-05-21,SV Herbern,Bezirksliga,MD23,Home,,,,,15:00,,,2022-2023
,2022-06-04,PSV Bork,Bezirksliga,MD24,Away,,,,,15:00,,,2022-2023
