season,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd
2015-16,Europa League,GR-3,3,2015-10-22,Gabala FK,Away,38,38,2,0,2,Pierre-Emerick,Aubameyang,Kagawa,Kagawa,Park,Combination (Park to Aubameyang to Kagawa to Aubameyang),aubameyang,kagawa,kagawa,park
2015-16,Europa League,GR-3,3,2015-10-22,Gabala FK,Away,72,72,3,0,3,Pierre-Emerick,Aubameyang,,Bender,Reus,No Official Assist (Bender shot saved and fell to Aubameyang),aubameyang,,bender,reus
2015-16,Bundesliga,MD10,10,2015-10-25,Augsburg,Home,18,18,1,0,1,Pierre-Emerick,Aubameyang,Gündoğan,Gündoğan,Castro,,aubameyang,gundogan,gundogan,castro
2015-16,Bundesliga,MD10,10,2015-10-25,Augsburg,Home,21,21,2,0,2,Marco,Reus,Kagawa,Kagawa,Schmelzer,Combination (Schmelzer to Reus to Kagawa to Reus),reus,kagawa,kagawa,schmelzer
2015-16,Bundesliga,MD10,10,2015-10-25,Augsburg,Home,33,33,3,0,3,Marco,Reus,,Kagawa,Ginter,No Official Assist (Unclear why),reus,,kagawa,ginter
2015-16,Bundesliga,MD10,10,2015-10-25,Augsburg,Home,85,85,4,1,3,Pierre-Emerick,Aubameyang,Ramos,Ramos,Kagawa,,aubameyang,ramos,ramos,kagawa
2015-16,Bundesliga,MD10,10,2015-10-25,Augsburg,Home,90+1,90.1,5,1,4,Pierre-Emerick,Aubameyang,,Kagawa,Gündoğan,No Official Assist (Unclear why),aubameyang,,kagawa,gundogan
2015-16,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,25,25,1,1,0,Adrián,Ramos,Castro,Castro,Papastathopoulos,,ramos,castro,castro,papastathopoulos
2015-16,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,30,30,2,1,1,Gonzalo,Castro,Ramos,Ramos,Mkhitaryan,Mkhitaryan pass took a deflection en route to Ramos,castro,ramos,ramos,mkhitaryan
2015-16,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,43,43,3,1,2,Shinji,Kagawa,Castro,Castro,Ramos,,kagawa,castro,castro,ramos
2015-16,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,55,55,4,1,3,İlkay,Gündoğan,,,,No Assists (Penalty),gundogan,,,
2015-16,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,58,58,5,1,4,Gonzalo,Castro,Gündoğan,Gündoğan,Mkhitaryan,,castro,gundogan,gundogan,mkhitaryan
2015-16,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,87,87,6,1,5,Łukasz,Piszczek,Mkhitaryan,Mkhitaryan,Januzaj,,piszczek,mkhitaryan,mkhitaryan,januzaj
2015-16,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,89,89,7,1,6,Henrikh,Mkhitaryan,Piszczek,Piszczek,Gündoğan,,mkhitaryan,piszczek,piszczek,gundogan
2015-16,Bundesliga,MD11,11,2015-10-31,Werder Bremen,Away,9,9,1,0,1,Marco,Reus,,Mkhitaryan,Gündoğan,No Official Assist (Mkhitaryan’s pass deflected en route to Reus),reus,,mkhitaryan,gundogan
2015-16,Bundesliga,MD11,11,2015-10-31,Werder Bremen,Away,44,44,2,1,1,Henrikh,Mkhitaryan,Hummels,Hummels,Kagawa,,mkhitaryan,hummels,hummels,kagawa
2015-16,Bundesliga,MD11,11,2015-10-31,Werder Bremen,Away,72,72,3,1,2,Marco,Reus,Mkhitaryan,Mkhitaryan,Gündoğan,,reus,mkhitaryan,mkhitaryan,gundogan
2015-16,Europa League,GR-4,4,2015-11-05,Gabala FK,Home,28,28,1,0,1,Marco,Reus,Mkhitaryan,Mkhitaryan,Castro,Combination (Castro to Mkhitaryan to Reus to Mkhitaryan to Reus),reus,mkhitaryan,mkhitaryan,castro
2015-16,Europa League,GR-4,4,2015-11-05,Gabala FK,Home,45,45,2,0,2,Pierre-Emerick,Aubameyang,,,,No Assists (Aubameyang won the ball),aubameyang,,,
2015-16,Europa League,GR-4,4,2015-11-05,Gabala FK,Home,67,67,3,0,3,Adnan,Januzaj,,,,Own Goal awarded to Januzaj; No Assists (Januzaj corner),januzaj,,,
2015-16,Europa League,GR-4,4,2015-11-05,Gabala FK,Home,70,70,4,0,4,Henrikh,Mkhitaryan,Piszczek,Piszczek,Hummels,Combination (Hummels to Mkhitaryan to Piszczek to Mkhitaryan),mkhitaryan,piszczek,piszczek,hummels
2015-16,Bundesliga,MD12,12,2015-11-08,Schalke 04,Home,30,30,1,0,1,Shinji,Kagawa,Ginter,Ginter,Castro,,kagawa,ginter,ginter,castro
2015-16,Bundesliga,MD12,12,2015-11-08,Schalke 04,Home,43,43,2,1,1,Matthias,Ginter,Mkhitaryan,Mkhitaryan,,No 2nd Assist (Mkhitaryan corner),ginter,mkhitaryan,mkhitaryan,
2015-16,Bundesliga,MD12,12,2015-11-08,Schalke 04,Home,47,47,3,1,2,Pierre-Emerick,Aubameyang,Castro,Castro,Mkhitaryan,,aubameyang,castro,castro,mkhitaryan
2015-16,Bundesliga,MD13,13,2015-11-20,Hamburger SV,Away,86,86,1,3,-2,Pierre-Emerick,Aubameyang,Januzaj,Januzaj,Mkhitaryan,,aubameyang,januzaj,januzaj,mkhitaryan
2015-16,Bundesliga,MD14,14,2015-11-29,Stuttgart,Home,3,3,1,0,1,Gonzalo,Castro,,Mkhitaryan,Reus,No Official Assist (Mkhitaryan shot saved and fell to Castro),castro,,mkhitaryan,reus
2015-16,Bundesliga,MD14,14,2015-11-29,Stuttgart,Home,19,19,2,0,2,Pierre-Emerick,Aubameyang,Castro,Castro,Bender,,aubameyang,castro,castro,bender
2015-16,Bundesliga,MD14,14,2015-11-29,Stuttgart,Home,65,65,3,1,2,Marco,Reus,,Schmelzer,Weigl,Own Goal awarded to Reus,reus,,schmelzer,weigl
2015-16,Bundesliga,MD14,14,2015-11-29,Stuttgart,Home,90+1,90.1,4,1,3,Pierre-Emerick,Aubameyang,Ramos,Ramos,Weigl,,aubameyang,ramos,ramos,weigl
2015-16,Bundesliga,MD15,15,2015-12-05,Wolfsburg,Away,32,32,1,0,1,Marco,Reus,Mkhitaryan,Mkhitaryan,,No 2nd Assist (Mkhitaryan won the ball),reus,mkhitaryan,mkhitaryan,
2015-16,Bundesliga,MD15,15,2015-12-05,Wolfsburg,Away,90+3,90.3,2,1,1,Shinji,Kagawa,Mkhitaryan,Mkhitaryan,Piszczek,,kagawa,mkhitaryan,mkhitaryan,piszczek
2015-16,Bundesliga,MD16,16,2015-12-13,Frankfurt,Home,24,24,1,1,0,Henrikh,Mkhitaryan,Aubameyang,Aubameyang,Hummels,,mkhitaryan,aubameyang,aubameyang,hummels
