id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,2775,1,0,0,2,2,3,0,0.03,0.06,0.10,0.10,66,4.5%,active
alcacer,Paco,Alcácer,🇪🇸,Spain,1634,19,2,3,3,6,25,1,1.05,0.33,1.38,1.32,48,52.1%,inactive
bruun-larsen,Jacob,Bruun Larsen,🇩🇰,Denmark,1452,3,3,4,2,6,9,0,0.19,0.37,0.56,0.56,38,23.7%,inactive
burki,Roman,Bürki,🇨🇭,Switzerland,3630,0,0,0,2,2,2,0,0.00,0.05,0.05,0.05,85,2.4%,active
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,1236,1,0,0,7,7,8,0,0.07,0.51,0.58,0.58,34,23.5%,active
delaney,Thomas,Delaney,🇩🇰,Denmark,2758,3,5,6,4,10,13,0,0.10,0.33,0.42,0.42,56,23.2%,active
diallo,Abdou,Diallo,🇫🇷,France,3252,1,1,1,2,3,4,0,0.03,0.08,0.11,0.11,73,5.5%,inactive
gomez,Sergio,Gómez,🇪🇸,Spain,1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,loan
gotze,Mario,Götze,🇩🇪,Germany,2270,7,7,8,2,10,17,0,0.28,0.40,0.67,0.67,44,38.6%,inactive
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,2037,6,6,6,5,11,17,0,0.27,0.49,0.75,0.75,50,34.0%,active
hakimi,Achraf,Hakimi,🇲🇦,Morocco,2351,3,7,8,3,11,14,0,0.11,0.42,0.54,0.54,65,21.5%,inactive
hitz,Marwin,Hitz,🇨🇭,Switzerland,390,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,11,0.0%,active
kagawa,Shinji,Kagawa,🇯🇵,Japan,205,0,0,1,0,1,1,0,0.00,0.44,0.44,0.44,6,16.7%,inactive
oelschlagel,Eric,Oelschlägel,🇩🇪,Germany,120,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,inactive
philipp,Maximilian,Philipp,🇩🇪,Germany,1050,2,3,3,1,4,6,0,0.17,0.34,0.51,0.51,28,21.4%,inactive
piszczek,Łukasz,Piszczek,🇵🇱,Poland,2329,1,6,6,1,7,8,0,0.04,0.27,0.31,0.31,52,15.4%,active
pulisic,Christian,Pulisic,🇺🇸,United States,1694,7,4,5,6,11,18,0,0.37,0.58,0.96,0.96,39,46.2%,inactive
reus,Marco,Reus,🇩🇪,Germany,3051,22,10,13,5,18,40,4,0.65,0.53,1.18,1.06,72,55.6%,active
sancho,Jadon,Sancho,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,2971,13,16,19,13,32,45,0,0.39,0.97,1.36,1.36,75,60.0%,active
schmelzer,Marcel,Schmelzer,🇩🇪,Germany,878,0,1,1,2,3,3,0,0.00,0.31,0.31,0.31,25,12.0%,active
toprak,Ömer,Toprak,🇹🇷,Turkey,739,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,15,0.0%,inactive
weigl,Julian,Weigl,🇩🇪,Germany,1984,1,0,0,0,0,1,0,0.05,0.00,0.05,0.05,47,2.1%,inactive
witsel,Axel,Witsel,🇧🇪,Belgium,3704,6,1,1,10,11,17,0,0.15,0.27,0.41,0.41,88,19.3%,active
wolf,Marius,Wolf,🇩🇪,Germany,1224,1,0,0,1,1,2,0,0.07,0.07,0.15,0.15,20,10.0%,active
zagadou,Dan-Axel,Zagadou,🇫🇷,France,1732,2,0,0,0,0,2,0,0.10,0.00,0.10,0.10,47,4.3%,active
