id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,2205,1,0,0,2,2,3,0,0.04,0.08,0.12,0.12,60,5.0%,active
alcacer,Paco,Alcácer,🇪🇸,Spain,1203,18,0,1,3,4,22,1,1.35,0.30,1.65,1.57,42,52.4%,inactive
bruun-larsen,Jacob,Bruun Larsen,🇩🇰,Denmark,1270,2,2,3,2,5,7,0,0.14,0.35,0.50,0.50,32,21.9%,inactive
burki,Roman,Bürki,🇨🇭,Switzerland,2880,0,0,0,1,1,1,0,0.00,0.03,0.03,0.03,75,1.3%,active
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,695,1,0,0,4,4,5,0,0.13,0.52,0.65,0.65,22,22.7%,active
delaney,Thomas,Delaney,🇩🇰,Denmark,2287,3,5,6,4,10,13,0,0.12,0.39,0.51,0.51,54,24.1%,active
diallo,Abdou,Diallo,🇫🇷,France,2380,1,1,1,1,2,3,0,0.04,0.08,0.11,0.11,58,5.2%,inactive
gotze,Mario,Götze,🇩🇪,Germany,1680,7,7,8,1,9,16,0,0.38,0.48,0.86,0.86,37,43.2%,inactive
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,1531,2,6,6,5,11,13,0,0.12,0.65,0.76,0.76,40,32.5%,active
hakimi,Achraf,Hakimi,🇲🇦,Morocco,1740,2,4,5,3,8,11,0,0.10,0.41,0.52,0.52,53,20.8%,inactive
hitz,Marwin,Hitz,🇨🇭,Switzerland,180,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,6,0.0%,active
kagawa,Shinji,Kagawa,🇯🇵,Japan,98,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,inactive
philipp,Maximilian,Philipp,🇩🇪,Germany,758,1,1,1,1,2,3,0,0.12,0.24,0.36,0.36,19,15.8%,inactive
piszczek,Łukasz,Piszczek,🇵🇱,Poland,1759,1,6,6,0,6,7,0,0.05,0.31,0.36,0.36,42,16.7%,active
pulisic,Christian,Pulisic,🇺🇸,United States,924,4,4,4,3,7,11,0,0.39,0.68,1.07,1.07,28,39.3%,inactive
reus,Marco,Reus,🇩🇪,Germany,2321,18,8,12,5,17,35,3,0.70,0.66,1.36,1.24,60,58.3%,active
sancho,Jadon,Sancho,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,2462,12,14,16,12,28,40,0,0.44,1.02,1.46,1.46,68,58.8%,active
schmelzer,Marcel,Schmelzer,🇩🇪,Germany,564,0,1,1,2,3,3,0,0.00,0.48,0.48,0.48,20,15.0%,active
toprak,Ömer,Toprak,🇹🇷,Turkey,229,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,7,0.0%,inactive
weigl,Julian,Weigl,🇩🇪,Germany,1455,1,0,0,0,0,1,0,0.06,0.00,0.06,0.06,37,2.7%,inactive
witsel,Axel,Witsel,🇧🇪,Belgium,2873,4,1,1,9,10,14,0,0.13,0.31,0.44,0.44,74,18.9%,active
wolf,Marius,Wolf,🇩🇪,Germany,827,1,0,0,1,1,2,0,0.11,0.11,0.22,0.22,15,13.3%,active
zagadou,Dan-Axel,Zagadou,🇫🇷,France,1266,2,0,0,0,0,2,0,0.14,0.00,0.14,0.14,37,5.4%,active
