season,id,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,active,incomplete
2015-16,15-16-113,Bundesliga,MD27,27,2016-03-20,Augsburg,Away,75,75,3,1,2,Adrián,Ramos,,Leitner,Mkhitaryan,No Official Assist (Ramos scored on his own rebound),ramos,,leitner,mkhitaryan,inactive,
2015-16,15-16-114,Bundesliga,MD28,28,2016-04-02,Werder Bremen,Home,53,53,1,0,1,Pierre-Emerick,Aubameyang,Mkhitaryan,Mkhitaryan,Reus,,aubameyang,mkhitaryan,mkhitaryan,reus,inactive,
2015-16,15-16-115,Bundesliga,MD28,28,2016-04-02,Werder Bremen,Home,77,77,2,2,0,Shinji,Kagawa,Schmelzer,Schmelzer,Castro,,kagawa,schmelzer,schmelzer,castro,inactive,
2015-16,15-16-116,Bundesliga,MD28,28,2016-04-02,Werder Bremen,Home,82,82,3,2,1,Adrián,Ramos,Mkhitaryan,Mkhitaryan,,No 2nd Assist (Mkhitaryan corner),ramos,mkhitaryan,mkhitaryan,,inactive,
2015-16,15-16-117,Europa League,QF-1,11,2016-04-07,Liverpool,Home,48,48,1,1,0,Mats,Hummels,Mkhitaryan,Mkhitaryan,Castro,,hummels,mkhitaryan,mkhitaryan,castro,active,
2015-16,15-16-118,Bundesliga,MD29,29,2016-04-10,Schalke 04,Away,49,49,1,0,1,Shinji,Kagawa,Leitner,Leitner,Şahin,Combination (Şahin to Leitner to Kagawa to Leitner to Kagawa),kagawa,leitner,leitner,sahin,inactive,
2015-16,15-16-119,Bundesliga,MD29,29,2016-04-10,Schalke 04,Away,56,56,2,1,1,Matthias,Ginter,,Mkhitaryan,,No Official Assist (Mkhitaryan free kick blocked and fell to Ginter); No 2nd Assist (Mkhitaryan free kick),ginter,,mkhitaryan,,inactive,
2015-16,15-16-120,Europa League,QF-2,12,2016-04-14,Liverpool,Away,5,5,1,0,1,Henrikh,Mkhitaryan,Aubameyang,Aubameyang,Castro,,mkhitaryan,aubameyang,aubameyang,castro,inactive,
2015-16,15-16-121,Europa League,QF-2,12,2016-04-14,Liverpool,Away,9,9,2,0,2,Pierre-Emerick,Aubameyang,Reus,Reus,,No 2nd Assist (Reus won the ball),aubameyang,reus,reus,,inactive,
2015-16,15-16-122,Europa League,QF-2,12,2016-04-14,Liverpool,Away,57,57,3,1,2,Marco,Reus,Hummels,Hummels,Schmelzer,,reus,hummels,hummels,schmelzer,active,
2015-16,15-16-123,Bundesliga,MD30,30,2016-04-17,Hamburger SV,Home,38,38,1,0,1,Christian,Pulisic,Hummels,Hummels,Kagawa,,pulisic,hummels,hummels,kagawa,inactive,
2015-16,15-16-124,Bundesliga,MD30,30,2016-04-17,Hamburger SV,Home,44,44,2,0,2,Adrián,Ramos,Şahin,Şahin,,No 2nd Assist (Şahin won the ball),ramos,sahin,sahin,,inactive,
2015-16,15-16-125,Bundesliga,MD30,30,2016-04-17,Hamburger SV,Home,86,86,3,0,3,Adrián,Ramos,,Kagawa,Leitner,No Official Assist (Kagawa shot saved and fell to Ramos),ramos,,kagawa,leitner,inactive,
2015-16,15-16-126,DFB-Pokal,SF,5,2016-04-20,Hertha Berlin,Away,20,20,1,0,1,Gonzalo,Castro,,Kagawa,Mkhitaryan,No Official Assist (Kagawa pass blocked and fell to Castro),castro,,kagawa,mkhitaryan,inactive,
2015-16,15-16-127,DFB-Pokal,SF,5,2016-04-20,Hertha Berlin,Away,75,75,2,0,2,Marco,Reus,Kagawa,Kagawa,Weigl,,reus,kagawa,kagawa,weigl,active,
2015-16,15-16-128,DFB-Pokal,SF,5,2016-04-20,Hertha Berlin,Away,83,83,3,0,3,Henrikh,Mkhitaryan,Reus,Reus,Kagawa,,mkhitaryan,reus,reus,kagawa,inactive,
2015-16,15-16-129,Bundesliga,MD31,31,2016-04-23,Stuttgart,Away,21,21,1,0,1,Shinji,Kagawa,Mkhitaryan,Mkhitaryan,Reus,,kagawa,mkhitaryan,mkhitaryan,reus,inactive,
2015-16,15-16-130,Bundesliga,MD31,31,2016-04-23,Stuttgart,Away,45,45,2,0,2,Christian,Pulisic,,Mkhitaryan,Ramos,No Official Assist (Mkhitaryan shot saved and fell to Pulisic),pulisic,,mkhitaryan,ramos,inactive,
2015-16,15-16-131,Bundesliga,MD31,31,2016-04-23,Stuttgart,Away,56,56,3,0,3,Henrikh,Mkhitaryan,,Ramos,Kagawa,No Official Assist (Ramos shot saved and fell to Mkhitaryan),mkhitaryan,,ramos,kagawa,inactive,
2015-16,15-16-132,Bundesliga,MD32,32,2016-04-30,Wolfsburg,Home,7,7,1,0,1,Shinji,Kagawa,Mkhitaryan,Mkhitaryan,Schmelzer,,kagawa,mkhitaryan,mkhitaryan,schmelzer,inactive,
2015-16,15-16-133,Bundesliga,MD32,32,2016-04-30,Wolfsburg,Home,9,9,2,0,2,Adrián,Ramos,Kagawa,Kagawa,,No 2nd Assist (Kagawa won the ball),ramos,kagawa,kagawa,,inactive,
2015-16,15-16-134,Bundesliga,MD32,32,2016-04-30,Wolfsburg,Home,59,59,3,0,3,Marco,Reus,Ramos,Ramos,Kagawa,Kagawa shot saved and fell to Ramos,reus,ramos,ramos,kagawa,active,
2015-16,15-16-135,Bundesliga,MD32,32,2016-04-30,Wolfsburg,Home,77,77,4,0,4,Pierre-Emerick,Aubameyang,,Mkhitaryan,Castro,No Official Assist (Unclear why),aubameyang,,mkhitaryan,castro,inactive,
2015-16,15-16-136,Bundesliga,MD32,32,2016-04-30,Wolfsburg,Home,78,78,5,0,5,Pierre-Emerick,Aubameyang,Schmelzer,Schmelzer,Şahin,,aubameyang,schmelzer,schmelzer,sahin,inactive,
2015-16,15-16-137,Bundesliga,MD34,34,2016-05-14,Köln,Home,11,11,1,0,1,Gonzalo,Castro,Schmelzer,Schmelzer,Weigl,,castro,schmelzer,schmelzer,weigl,inactive,
2015-16,15-16-138,Bundesliga,MD34,34,2016-05-14,Köln,Home,75,75,2,2,0,Marco,Reus,,,,No Assists (Reus free kick),reus,,,,active,
