season,id,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,active,incomplete
2015-16,15-16-027,Europa League Qualifying,PO-2,4,2015-08-27,Odds BK,Home,90,90,7,2,5,Shinji,Kagawa,Aubameyang,Aubameyang,Weigl,,kagawa,aubameyang,aubameyang,weigl,inactive,
2015-16,15-16-028,Bundesliga,MD3,3,2015-08-30,Hertha Berlin,Home,27,27,1,0,1,Mats,Hummels,Kagawa,Kagawa,Reus,,hummels,kagawa,kagawa,reus,active,
2015-16,15-16-029,Bundesliga,MD3,3,2015-08-30,Hertha Berlin,Home,51,51,2,0,2,Pierre-Emerick,Aubameyang,Ginter,Ginter,Kagawa,,aubameyang,ginter,ginter,kagawa,inactive,
2015-16,15-16-030,Bundesliga,MD3,3,2015-08-30,Hertha Berlin,Home,90+1,90.1,3,1,2,Adrián,Ramos,Mkhitaryan,Mkhitaryan,Kagawa,,ramos,mkhitaryan,mkhitaryan,kagawa,inactive,
2015-16,15-16-031,Bundesliga,MD4,4,2015-09-12,Hannover 96,Away,35,35,1,1,0,Pierre-Emerick,Aubameyang,,,,No Assists (Penalty),aubameyang,,,,inactive,
2015-16,15-16-032,Bundesliga,MD4,4,2015-09-12,Hannover 96,Away,44,44,2,1,1,Henrikh,Mkhitaryan,Ginter,Ginter,Schmelzer,Combination Schmelzer to Mkhitaryan to Ginter to Mkhitaryan),mkhitaryan,ginter,ginter,schmelzer,inactive,
2015-16,15-16-033,Bundesliga,MD4,4,2015-09-12,Hannover 96,Away,67,67,3,2,1,Matthias,Ginter,,Kagawa,Schmelzer,Own Goal awarded to Ginter,ginter,,kagawa,schmelzer,inactive,
2015-16,15-16-034,Bundesliga,MD4,4,2015-09-12,Hannover 96,Away,85,85,4,2,2,Pierre-Emerick,Aubameyang,,,,No Assists (Penalty),aubameyang,,,,inactive,
2015-16,15-16-035,Europa League,GR-1,1,2015-09-17,Krasnodar,Home,45+1,45.1,1,1,0,Matthias,Ginter,Park,Park,Schmelzer,,ginter,park,park,schmelzer,inactive,
2015-16,15-16-036,Europa League,GR-1,1,2015-09-17,Krasnodar,Home,90+3,90.3,2,1,1,Jo-hoo,Park,Ginter,Ginter,Gündoğan,,park,ginter,ginter,gundogan,inactive,
2015-16,15-16-037,Bundesliga,MD5,5,2015-09-20,Leverkusen,Home,19,19,1,0,1,Jonas,Hofmann,Kagawa,Kagawa,,No 2nd Assist (Kagawa won the ball),hofmann,kagawa,kagawa,,inactive,
2015-16,15-16-038,Bundesliga,MD5,5,2015-09-20,Leverkusen,Home,58,58,2,0,2,Shinji,Kagawa,Mkhitaryan,Mkhitaryan,Gündoğan,,kagawa,mkhitaryan,mkhitaryan,gundogan,inactive,
2015-16,15-16-039,Bundesliga,MD5,5,2015-09-20,Leverkusen,Home,74,74,3,0,3,Pierre-Emerick,Aubameyang,,,,No Assists (Penalty),aubameyang,,,,inactive,
2015-16,15-16-040,Bundesliga,MD6,6,2015-09-23,Hoffenheim,Away,55,55,1,1,0,Pierre-Emerick,Aubameyang,Castro,Castro,Hummels,,aubameyang,castro,castro,hummels,inactive,
2015-16,15-16-041,Bundesliga,MD7,7,2015-09-27,Darmstadt 98,Home,63,63,1,1,0,Pierre-Emerick,Aubameyang,Ginter,Ginter,Kagawa,,aubameyang,ginter,ginter,kagawa,inactive,
2015-16,15-16-042,Bundesliga,MD7,7,2015-09-27,Darmstadt 98,Home,71,71,2,1,1,Pierre-Emerick,Aubameyang,Januzaj,Januzaj,Gündoğan,,aubameyang,januzaj,januzaj,gundogan,inactive,
2015-16,15-16-043,Europa League,GR-2,2,2015-10-01,PAOK,Away,72,72,1,1,0,Gonzalo,Castro,,Schmelzer,Reus,No Official Assist (Unclear why),castro,,schmelzer,reus,inactive,
2015-16,15-16-044,Bundesliga,MD8,8,2015-10-04,Bayern Munich,Away,36,36,1,2,-1,Pierre-Emerick,Aubameyang,,Castro,Mkhitaryan,No Official Assist (Unclear why),aubameyang,,castro,mkhitaryan,inactive,
2015-16,15-16-045,Bundesliga,MD9,9,2015-10-16,Mainz 05,Away,18,18,1,0,1,Marco,Reus,Aubameyang,Aubameyang,Mkhitaryan,,reus,aubameyang,aubameyang,mkhitaryan,active,
2015-16,15-16-046,Bundesliga,MD9,9,2015-10-16,Mainz 05,Away,82,82,2,0,2,Henrikh,Mkhitaryan,,Aubameyang,,No Official Assist (Unclear why); No 2nd Assist (Aubameyang won the ball),mkhitaryan,,aubameyang,,inactive,
2015-16,15-16-047,Europa League,GR-3,3,2015-10-22,Gabala FK,Away,31,31,1,0,1,Pierre-Emerick,Aubameyang,Reus,Reus,Kagawa,,aubameyang,reus,reus,kagawa,inactive,
2015-16,15-16-048,Europa League,GR-3,3,2015-10-22,Gabala FK,Away,38,38,2,0,2,Pierre-Emerick,Aubameyang,Kagawa,Kagawa,Park,Combination (Park to Aubameyang to Kagawa to Aubameyang),aubameyang,kagawa,kagawa,park,inactive,
2015-16,15-16-049,Europa League,GR-3,3,2015-10-22,Gabala FK,Away,72,72,3,0,3,Pierre-Emerick,Aubameyang,,Bender,Reus,No Official Assist (Bender shot saved and fell to Aubameyang),aubameyang,,bender,reus,inactive,
2015-16,15-16-050,Bundesliga,MD10,10,2015-10-25,Augsburg,Home,18,18,1,0,1,Pierre-Emerick,Aubameyang,Gündoğan,Gündoğan,Castro,,aubameyang,gundogan,gundogan,castro,inactive,
2015-16,15-16-051,Bundesliga,MD10,10,2015-10-25,Augsburg,Home,21,21,2,0,2,Marco,Reus,Kagawa,Kagawa,Schmelzer,Combination (Schmelzer to Reus to Kagawa to Reus),reus,kagawa,kagawa,schmelzer,active,
2015-16,15-16-052,Bundesliga,MD10,10,2015-10-25,Augsburg,Home,33,33,3,0,3,Marco,Reus,,Kagawa,Ginter,No Official Assist (Unclear why),reus,,kagawa,ginter,active,
2015-16,15-16-053,Bundesliga,MD10,10,2015-10-25,Augsburg,Home,85,85,4,1,3,Pierre-Emerick,Aubameyang,Ramos,Ramos,Kagawa,,aubameyang,ramos,ramos,kagawa,inactive,
2015-16,15-16-054,Bundesliga,MD10,10,2015-10-25,Augsburg,Home,90+1,90.1,5,1,4,Pierre-Emerick,Aubameyang,,Kagawa,Gündoğan,No Official Assist (Unclear why),aubameyang,,kagawa,gundogan,inactive,
2015-16,15-16-055,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,25,25,1,1,0,Adrián,Ramos,Castro,Castro,Papastathopoulos,,ramos,castro,castro,papastathopoulos,inactive,
2015-16,15-16-056,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,30,30,2,1,1,Gonzalo,Castro,Ramos,Ramos,Mkhitaryan,Mkhitaryan pass took a deflection en route to Ramos,castro,ramos,ramos,mkhitaryan,inactive,
2015-16,15-16-057,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,43,43,3,1,2,Shinji,Kagawa,Castro,Castro,Ramos,,kagawa,castro,castro,ramos,inactive,
2015-16,15-16-058,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,55,55,4,1,3,İlkay,Gündoğan,,,,No Assists (Penalty),gundogan,,,,inactive,
2015-16,15-16-059,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,58,58,5,1,4,Gonzalo,Castro,Gündoğan,Gündoğan,Mkhitaryan,,castro,gundogan,gundogan,mkhitaryan,inactive,
2015-16,15-16-060,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,87,87,6,1,5,Łukasz,Piszczek,Mkhitaryan,Mkhitaryan,Januzaj,,piszczek,mkhitaryan,mkhitaryan,januzaj,active,
2015-16,15-16-061,DFB-Pokal,R2,2,2015-10-28,Paderborn,Home,89,89,7,1,6,Henrikh,Mkhitaryan,Piszczek,Piszczek,Gündoğan,,mkhitaryan,piszczek,piszczek,gundogan,inactive,
2015-16,15-16-062,Bundesliga,MD11,11,2015-10-31,Werder Bremen,Away,9,9,1,0,1,Marco,Reus,,Mkhitaryan,Gündoğan,No Official Assist (Mkhitaryan’s pass deflected en route to Reus),reus,,mkhitaryan,gundogan,active,
2015-16,15-16-063,Bundesliga,MD11,11,2015-10-31,Werder Bremen,Away,44,44,2,1,1,Henrikh,Mkhitaryan,Hummels,Hummels,Kagawa,,mkhitaryan,hummels,hummels,kagawa,inactive,
2015-16,15-16-064,Bundesliga,MD11,11,2015-10-31,Werder Bremen,Away,72,72,3,1,2,Marco,Reus,Mkhitaryan,Mkhitaryan,Gündoğan,,reus,mkhitaryan,mkhitaryan,gundogan,active,
2015-16,15-16-065,Europa League,GR-4,4,2015-11-05,Gabala FK,Home,28,28,1,0,1,Marco,Reus,Mkhitaryan,Mkhitaryan,Castro,Combination (Castro to Mkhitaryan to Reus to Mkhitaryan to Reus),reus,mkhitaryan,mkhitaryan,castro,active,
2015-16,15-16-066,Europa League,GR-4,4,2015-11-05,Gabala FK,Home,45,45,2,0,2,Pierre-Emerick,Aubameyang,,,,No Assists (Aubameyang won the ball),aubameyang,,,,inactive,
2015-16,15-16-067,Europa League,GR-4,4,2015-11-05,Gabala FK,Home,67,67,3,0,3,Adnan,Januzaj,,,,Own Goal awarded to Januzaj; No Assists (Januzaj corner),januzaj,,,,inactive,
