season,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,active,incomplete
2016-17,Bundesliga,MD1,1,2016-08-27,Mainz,Home,17,17,1,1,0,Pierre-Emerick,Aubameyang,Schürrle,Schürrle,Kagawa,,aubameyang,schurrle,schurrle,kagawa,inactive,
2016-17,Bundesliga,MD1,1,2016-08-27,Mainz,Home,89,89,2,2,0,Pierre-Emerick,Aubameyang,,,,No Assists (Penalty),aubameyang,,,,inactive,
2016-17,Bundesliga,MD3,3,2016-09-17,Darmstadt 98,Home,7,7,1,0,1,Gonzalo,Castro,Dembélé,Dembélé,Ramos,,castro,dembele,dembele,ramos,inactive,
2016-17,Bundesliga,MD3,3,2016-09-17,Darmstadt 98,Home,48,48,2,0,2,Adrián,Ramos,,Guerreiro,Pulisic,No Official Assist (Guerreiro shot saved and fell to Ramos); Combination (Pulisic to Ramos to Guerreiro to Ramos),ramos,,guerreiro,pulisic,inactive,
2016-17,Bundesliga,MD3,3,2016-09-17,Darmstadt 98,Home,54,54,3,0,3,Christian,Pulisic,,Schmelzer,Schmelzer,No Official Assist (Schmelzer pass to Guerreiro deflected to Pulisic),pulisic,,schmelzer,schmelzer,inactive,
2016-17,Bundesliga,MD3,3,2016-09-17,Darmstadt 98,Home,78,78,4,0,4,Gonzalo,Castro,Pulisic,Pulisic,Rode,,castro,pulisic,pulisic,rode,inactive,
2016-17,Bundesliga,MD3,3,2016-09-17,Darmstadt 98,Home,84,84,5,0,5,Sebastian,Rode,Castro,Castro,Weigl,,rode,castro,castro,weigl,inactive,
2016-17,Bundesliga,MD3,3,2016-09-17,Darmstadt 98,Home,88,88,6,0,6,Emre,Mor,,Pulisic,,No Official Assist (Unclear why not),mor,,pulisic,,inactive,incomplete
2016-17,Bundesliga,MD4,4,2016-09-20,VfL Wolfsburg,Away,4,4,1,0,1,Raphaël,Guerreiro,Bartra,Bartra,,,guerreiro,bartra,bartra,,active,incomplete
2016-17,Bundesliga,MD4,4,2016-09-20,VfL Wolfsburg,Away,16,16,2,0,2,Pierre-Emerick,Aubameyang,Guerreiro,Guerreiro,Schmelzer,,aubameyang,guerreiro,guerreiro,schmelzer,inactive,
2016-17,Bundesliga,MD4,4,2016-09-20,VfL Wolfsburg,Away,58,58,3,1,2,Ousmane,Dembélé,Castro,Castro,Guerreiro,,dembele,castro,castro,guerreiro,inactive,
2016-17,Bundesliga,MD4,4,2016-09-20,VfL Wolfsburg,Away,69,69,4,1,3,Pierre-Emerick,Aubameyang,,Castro,Piszczek,No Official Assist (Unsure why),aubameyang,,castro,piszczek,inactive,
2016-17,Bundesliga,MD4,4,2016-09-20,VfL Wolfsburg,Away,73,73,5,1,4,Łukasz,Piszczek,,Guerreiro,,No Official Assist (Unsure why); No Second Assist (Guerreiro corner),piszczek,,guerreiro,,active,
2016-17,Bundesliga,MD5,5,2016-09-23,SC Freiburg,Home,45,45,1,0,1,Pierre-Emerick,Aubameyang,Dembélé,Dembélé,Götze,,aubameyang,dembele,dembele,gotze,inactive,
2016-17,Bundesliga,MD5,5,2016-09-23,SC Freiburg,Home,53,53,2,0,2,Łukasz,Piszczek,,Castro,,No Official Assist (Castro shot deflected to Piszczek); Combination? (??? to Piszczek to Castro to Piszczek),piszczek,,castro,,active,incomplete
2016-17,Bundesliga,MD5,5,2016-09-23,SC Freiburg,Home,90+1,90.1,3,1,2,Raphaël,Guerreiro,Castro,Castro,Aubameyang,,guerreiro,castro,castro,aubameyang,active,
2016-17,Bundesliga,MD7,7,2016-10-14,Hertha BSC,Home,80,80,1,1,0,Pierre-Emerick,Aubameyang,Dembélé,Dembélé,Merino,,aubameyang,dembele,dembele,merino,inactive,
2016-17,Bundesliga,MD8,8,2016-10-22,Ingolstadt 04,Away,59,59,1,2,-1,Pierre-Emerick,Aubameyang,Dembélé,Dembélé,Kagawa,,aubameyang,dembele,dembele,kagawa,inactive,
2016-17,Bundesliga,MD8,8,2016-10-22,Ingolstadt 04,Away,69,69,2,3,-1,Adrián,Ramos,Pulisic,Pulisic,Dembélé,,ramos,pulisic,pulisic,dembele,inactive,
2016-17,Bundesliga,MD8,8,2016-10-22,Ingolstadt 04,Away,90+1,90.1,3,3,0,Christian,Pulisic,,Piszczek,Passlack,No Official Assist (Piszczek shot saved and fell to Pulisic),pulisic,,piszczek,passlack,inactive,
2016-17,Bundesliga,MD10,10,2016-11-05,Hamburger SV,Away,4,4,1,0,1,Pierre-Emerick,Aubameyang,,Mor,Pulisic,No Official Assist (Mor shot saved and fell to Aubameyang),aubameyang,,mor,pulisic,inactive,
2016-17,Bundesliga,MD10,10,2016-11-05,Hamburger SV,Away,23,23,2,0,2,Pierre-Emerick,Aubameyang,Mor,Mor,,No Second Assist (Mor won the ball),aubameyang,mor,mor,,inactive,
2016-17,Bundesliga,MD10,10,2016-11-05,Hamburger SV,Away,27,27,3,0,3,Pierre-Emerick,Aubameyang,Bartra,Bartra,,No Second Assist (Bartra won the ball),aubameyang,bartra,bartra,,inactive,
2016-17,Bundesliga,MD10,10,2016-11-05,Hamburger SV,Away,48,48,4,0,4,Pierre-Emerick,Aubameyang,Pulisic,Pulisic,,No Second Assist (Pulisic won the ball),aubameyang,pulisic,pulisic,,inactive,
2016-17,Bundesliga,MD10,10,2016-11-05,Hamburger SV,Away,76,76,5,1,4,Ousmane,Dembélé,Aubameyang,Aubameyang,Piszczek,,dembele,aubameyang,aubameyang,piszczek,inactive,
2016-17,Bundesliga,MD11,11,2016-11-19,Bayern Munich,Home,11,11,1,0,1,Pierre-Emerick,Aubameyang,Götze,Götze,Piszczek,,aubameyang,gotze,gotze,piszczek,inactive,
2016-17,Bundesliga,MD12,12,2016-11-26,Frankfurt,Away,77,77,1,1,0,Pierre-Emerick,Aubameyang,Dembélé,Dembélé,,,aubameyang,dembele,dembele,,inactive,incomplete
2016-17,Bundesliga,MD13,13,2016-12-03,Gladbach,Home,7,7,1,1,0,Pierre-Emerick,Aubameyang,Reus,Reus,Dembélé,,aubameyang,reus,reus,dembele,inactive,
2016-17,Bundesliga,MD13,13,2016-12-03,Gladbach,Home,15,15,2,1,1,Łukasz,Piszczek,Bartra,Bartra,Dembélé,,piszczek,bartra,bartra,dembele,active,
2016-17,Bundesliga,MD13,13,2016-12-03,Gladbach,Home,64,64,3,1,2,Ousmane,Dembélé,Reus,Reus,,,dembele,reus,reus,,inactive,incomplete
2016-17,Bundesliga,MD13,13,2016-12-03,Gladbach,Home,68,68,4,1,3,Pierre-Emerick,Aubameyang,Reus,Reus,Dembélé,,aubameyang,reus,reus,dembele,inactive,
2016-17,Bundesliga,MD14,14,2016-12-10,Köln,Away,90,90,1,1,0,Marco,Reus,Ramos,Ramos,Dembélé,,reus,ramos,ramos,dembele,active,
2016-17,Bundesliga,MD15,15,2016-12-16,Hoffenheim,Away,11,11,1,1,0,Mario,Götze,Dembélé,Dembélé,,,gotze,dembele,dembele,,inactive,incomplete
2016-17,Bundesliga,MD15,15,2016-12-16,Hoffenheim,Away,48,48,2,2,0,Pierre-Emerick,Aubameyang,Dembélé,Dembélé,,,aubameyang,dembele,dembele,,inactive,incomplete
2016-17,Bundesliga,MD16,16,2016-12-20,Augsburg,Home,47,47,1,1,0,Ousmane,Dembélé,Kagawa,Kagawa,Weigl,Combination (Weigl to Dembélé to Kagawa to Dembélé),dembele,kagawa,kagawa,weigl,inactive,
2016-17,Bundesliga,MD17,17,2017-01-21,Werder Bremen,Away,5,5,1,0,1,André,Schürrle,,,,No Assists (Schürrle picked up loose ball),schurrle,,,,inactive,
2016-17,Bundesliga,MD17,17,2017-01-21,Werder Bremen,Away,71,71,2,1,1,Łukasz,Piszczek,,Guerreiro,Dembélé,No Official Assist (Guerreiro shot blocked and fell to Piszczek); Dembélé corner blocked and fell to Guerreiro,piszczek,,guerreiro,dembele,active,
2016-17,Bundesliga,MD18,18,2017-01-29,Mainz 05,Away,3,3,1,0,1,Marco,Reus,Schürrle,Schürrle,Castro,,reus,schurrle,schurrle,castro,active,
2016-17,Bundesliga,MD19,19,2017-02-04,RB Leipzig,Home,35,35,1,0,1,Pierre-Emerick,Aubameyang,Dembélé,Dembélé,Piszczek,,aubameyang,dembele,dembele,piszczek,inactive,
2016-17,Bundesliga,MD20,20,2017-02-11,Darmstadt 98,Away,44,44,1,1,0,Raphaël,Guerreiro,Mor,Mor,Durm,,guerreiro,mor,mor,durm,active,
2016-17,Bundesliga,MD21,21,2017-02-18,VfL Wolfsburg,Home,20,20,1,0,1,Łukasz,Piszczek,,Dembélé,Reus,Own Goal awarded to Piszczek,piszczek,,dembele,reus,active,
2016-17,Bundesliga,MD21,21,2017-02-18,VfL Wolfsburg,Home,48,48,2,0,2,Łukasz,Piszczek,Dembélé,Dembélé,Schmelzer,Schmelzer free kick blocked and fell to Dembélé,piszczek,dembele,dembele,schmelzer,active,
2016-17,Bundesliga,MD21,21,2017-02-18,VfL Wolfsburg,Home,59,59,3,0,3,Ousmane,Dembélé,Piszczek,Piszczek,Ginter,,dembele,piszczek,piszczek,ginter,inactive,
2016-17,Bundesliga,MD22,22,2017-02-25,SC Freiburg,Away,13,13,1,0,1,Sokratis,Papastathopoulos,Guerreiro,Guerreiro,,No Second Assist (Guerreiro free kick),papastathopoulos,guerreiro,guerreiro,,inactive,
2016-17,Bundesliga,MD22,22,2017-02-25,SC Freiburg,Away,55,55,2,0,2,Pierre-Emerick,Aubameyang,Reus,Reus,Weigl,,aubameyang,reus,reus,weigl,inactive,
2016-17,Bundesliga,MD22,22,2017-02-25,SC Freiburg,Away,70,70,3,0,3,Pierre-Emerick,Aubameyang,Durm,Durm,Dembélé,,aubameyang,durm,durm,dembele,inactive,
