id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
aubameyang,Pierre-Emerick,Aubameyang,🇬🇦,Gabon,3954,40,4,6,6,12,52,3,0.91,0.27,1.18,1.12,91,57.1%,inactive
bartra,Marc,Bartra,🇪🇸,Spain,2605,1,3,4,0,4,5,0,0.03,0.14,0.17,0.17,72,6.9%,inactive
bender,Sven,Bender,🇩🇪,Germany,408,0,1,1,0,1,1,0,0.00,0.22,0.22,0.22,11,9.1%,inactive
bruun-larsen,Jacob,Bruun Larsen,🇩🇰,Denmark,67,1,0,0,0,0,1,0,1.34,0.00,1.34,1.34,1,100.0%,inactive
burki,Roman,Bürki,🇨🇭,Switzerland,3630,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,85,0.0%,active
burnic,Dženis,Burnić,🇩🇪,Germany,91,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,inactive
castro,Gonzalo,Castro,🇩🇪,Germany,2882,4,7,9,7,16,20,1,0.12,0.50,0.62,0.59,80,25.0%,inactive
dembele,Ousmane,Dembélé,🇫🇷,France,3384,10,20,22,11,33,43,0,0.27,0.88,1.14,1.14,86,50.0%,inactive
durm,Erik,Durm,🇩🇪,Germany,1392,0,3,3,2,5,5,0,0.00,0.32,0.32,0.32,30,16.7%,inactive
ginter,Matthias,Ginter,🇩🇪,Germany,3386,0,1,1,2,3,3,0,0.00,0.08,0.08,0.08,80,3.8%,inactive
gotze,Mario,Götze,🇩🇪,Germany,1172,2,2,3,2,5,7,0,0.15,0.38,0.54,0.54,22,31.8%,inactive
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,2330,7,5,10,6,16,23,0,0.27,0.62,0.89,0.89,61,37.7%,active
isak,Alexander,Isak,🇸🇪,Sweden,5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,inactive
kagawa,Shinji,Kagawa,🇯🇵,Japan,1990,6,8,8,6,14,20,0,0.27,0.63,0.90,0.90,51,39.2%,inactive
merino,Mikel,Merino,🇪🇸,Spain,318,0,0,0,1,1,1,0,0.00,0.28,0.28,0.28,5,20.0%,inactive
mor,Emre,Mor,🇹🇷,Turkey,700,1,2,3,2,5,6,0,0.13,0.64,0.77,0.77,18,33.3%,inactive
papastathopoulos,Sokratis,Papastathopoulos,🇬🇷,Greece,3703,3,0,0,4,4,7,0,0.07,0.10,0.17,0.17,84,8.3%,inactive
park,Jo-hoo,Park,🇰🇷,Korea Republic,65,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,inactive
passlack,Felix,Passlack,🇩🇪,Germany,993,1,0,1,3,4,5,0,0.09,0.36,0.45,0.45,27,18.5%,active
piszczek,Łukasz,Piszczek,🇵🇱,Poland,3135,6,3,5,9,14,20,0,0.17,0.40,0.57,0.57,76,26.3%,active
pulisic,Christian,Pulisic,🇺🇸,United States,2336,5,8,9,3,12,17,0,0.19,0.46,0.65,0.65,68,25.0%,inactive
ramos,Adrián,Ramos,🇨🇴,Colombia,670,3,1,1,1,2,5,0,0.40,0.27,0.67,0.67,13,38.5%,inactive
reus,Marco,Reus,🇩🇪,Germany,1694,14,6,7,3,10,24,2,0.74,0.53,1.28,1.17,43,55.8%,active
rode,Sebastian,Rode,🇩🇪,Germany,899,1,0,0,2,2,3,0,0.10,0.20,0.30,0.30,26,11.5%,inactive
sahin,Nuri,Şahin,🇹🇷,Turkey,457,1,1,1,4,5,6,0,0.20,0.98,1.18,1.18,19,31.6%,inactive
schmelzer,Marcel,Schmelzer,🇩🇪,Germany,3177,1,3,5,5,10,11,0,0.03,0.28,0.31,0.31,67,16.4%,active
schurrle,André,Schürrle,🇩🇪,Germany,1132,5,2,3,2,5,10,1,0.40,0.40,0.80,0.72,23,43.5%,inactive
weidenfeller,Roman,Weidenfeller,🇩🇪,Germany,1020,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,28,0.0%,inactive
weigl,Julian,Weigl,🇩🇪,Germany,3499,1,0,0,9,9,10,0,0.03,0.23,0.26,0.26,73,13.7%,inactive
