id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,54,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,active
bellingham,Jude,Bellingham,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,180,2,2,2,0,2,4,0,1.00,1.00,2.00,2.00,4,100.0%,active
brandt,Julian,Brandt,🇩🇪,Germany,113,0,0,0,1,1,1,0,0.00,0.80,0.80,0.80,2,50.0%,active
can,Emre,Can,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,180,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,active
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,90,1,1,1,0,1,2,0,1.00,1.00,2.00,2.00,2,100.0%,active
hazard,Thorgan,Hazard,🇧🇪,Belgium,68,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
hummels,Mats,Hummels,🇩🇪,Germany,180,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,active
kobel,Gregor,Kobel,🇨🇭,Switzerland,180,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,active
malen,Donyell,Malen,🇳🇱,Netherlands,143,1,0,1,0,1,2,0,0.63,0.63,1.26,1.26,3,66.7%,active
meunier,Thomas,Meunier,🇧🇪,Belgium,45,0,0,0,1,1,1,0,0.00,2.00,2.00,2.00,2,50.0%,active
moukoko,Youssoufa,Moukoko,🇩🇪,Germany,67,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
reinier,,Reinier,🇧🇷,Brazil,31,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
reus,Marco,Reus,🇩🇪,Germany,166,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,active
reyna,Gio,Reyna,🇺🇸,United States,45,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
schulz,Nico,Schulz,🇩🇪,Germany,126,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,active
tigges,Steffen,Tigges,🇩🇪,Germany,37,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,active
witsel,Axel,Witsel,🇧🇪,Belgium,50,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
wolf,Marius,Wolf,🇩🇪,Germany,45,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
zagadou,Dan-Axel,Zagadou,🇫🇷,France,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
