id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,360,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,10,0.0%,active
bellingham,Jude,Bellingham,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,299,0,1,1,1,2,2,0,0.00,0.60,0.60,0.60,10,20.0%,active
brandt,Julian,Brandt,🇩🇪,Germany,21,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
can,Emre,Can,🇩🇪,Germany,11,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,354,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,10,0.0%,active
delaney,Thomas,Delaney,🇩🇰,Denmark,24,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,53,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
haaland,Erling,Haaland,🇳🇴,Norway,360,5,2,3,0,3,8,1,1.25,0.75,2.00,1.75,10,80.0%,active
hazard,Thorgan,Hazard,🇧🇪,Belgium,97,1,0,0,1,1,2,0,0.93,0.93,1.86,1.86,5,40.0%,active
hummels,Mats,Hummels,🇩🇪,Germany,12,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
kobel,Gregor,Kobel,🇨🇭,Switzerland,360,0,0,0,1,1,1,0,0.00,0.25,0.25,0.25,10,10.0%,active
malen,Donyell,Malen,🇳🇱,Netherlands,154,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
moukoko,Youssoufa,Moukoko,🇩🇪,Germany,79,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
papadopoulos,Antonios,Papadopoulos,🇩🇪,Germany,103,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,reserve
pasalic,Marco,Pašalić,🇭🇷,Croatia,13,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,reserve
passlack,Felix,Passlack,🇩🇪,Germany,342,1,0,0,1,1,2,0,0.26,0.26,0.53,0.53,10,20.0%,active
reinier,,Reinier,🇧🇷,Brazil,7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
reus,Marco,Reus,🇩🇪,Germany,331,2,3,3,3,6,8,0,0.54,1.63,2.18,2.18,10,80.0%,active
reyna,Gio,Reyna,🇺🇸,United States,316,1,0,2,1,3,4,0,0.28,0.85,1.14,1.14,10,40.0%,active
schulz,Nico,Schulz,🇩🇪,Germany,307,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,9,0.0%,active
tigges,Steffen,Tigges,🇩🇪,Germany,69,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,active
witsel,Axel,Witsel,🇧🇪,Belgium,281,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,7,0.0%,active
wolf,Marius,Wolf,🇩🇪,Germany,7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
