id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,3192,0,2,2,4,6,6,0,0.00,0.17,0.17,0.17,86,7.0%,active
alcacer,Paco,Alcácer,🇪🇸,Spain,823,7,2,2,1,3,10,0,0.77,0.33,1.09,1.09,18,55.6%,inactive
balerdi,Leonardo,Balerdi,🇦🇷,Argentina,141,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,active
brandt,Julian,Brandt,🇩🇪,Germany,2873,7,12,13,16,29,36,0,0.22,0.91,1.13,1.13,73,49.3%,active
bruun-larsen,Jacob,Bruun Larsen,🇩🇰,Denmark,164,0,1,1,0,1,1,0,0.00,0.55,0.55,0.55,4,25.0%,inactive
burki,Roman,Bürki,🇨🇭,Switzerland,3490,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,86,0.0%,active
can,Emre,Can,🇩🇪,Germany,1135,2,0,1,0,1,3,0,0.16,0.08,0.24,0.24,22,13.6%,active
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,588,0,1,1,3,4,4,0,0.00,0.61,0.61,0.61,13,30.8%,active
delaney,Thomas,Delaney,🇩🇰,Denmark,1074,0,0,0,3,3,3,0,0.00,0.25,0.25,0.25,21,14.3%,active
gotze,Mario,Götze,🇩🇪,Germany,620,3,1,1,1,2,5,1,0.44,0.29,0.73,0.58,14,35.7%,inactive
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,2959,8,3,6,8,14,22,0,0.24,0.43,0.67,0.67,72,30.6%,active
haaland,Erling,Haaland,🇳🇴,Norway,1288,16,2,2,2,4,20,0,1.12,0.28,1.40,1.40,35,57.1%,active
hakimi,Achraf,Hakimi,🇲🇦,Morocco,3571,9,10,10,6,16,25,0,0.23,0.40,0.63,0.63,87,28.7%,inactive
hazard,Thorgan,Hazard,🇧🇪,Belgium,3027,7,14,15,3,18,25,0,0.21,0.54,0.74,0.74,75,33.3%,active
hitz,Marwin,Hitz,🇨🇭,Switzerland,650,0,0,0,1,1,1,0,0.00,0.14,0.14,0.14,16,6.3%,active
hummels,Mats,Hummels,🇩🇪,Germany,3481,1,3,3,3,6,7,0,0.03,0.16,0.18,0.18,88,8.0%,active
morey,Mateu,Morey,🇪🇸,Spain,197,0,1,1,0,1,1,0,0.00,0.46,0.46,0.46,3,33.3%,active
piszczek,Łukasz,Piszczek,🇵🇱,Poland,2727,1,4,4,2,6,7,0,0.03,0.20,0.23,0.23,67,10.4%,active
raschl,Tobias,Raschl,🇩🇪,Germany,26,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
reus,Marco,Reus,🇩🇪,Germany,2111,12,6,7,3,10,22,1,0.51,0.43,0.94,0.90,58,37.9%,active
reyna,Gio,Reyna,🇺🇸,United States,423,1,2,2,3,5,6,0,0.21,1.06,1.28,1.28,11,54.5%,active
sancho,Jadon,Sancho,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,3266,20,19,20,15,35,55,0,0.55,0.96,1.52,1.52,89,61.8%,active
schmelzer,Marcel,Schmelzer,🇩🇪,Germany,67,1,1,1,0,1,2,0,1.34,1.34,2.69,2.69,3,66.7%,active
schulz,Nico,Schulz,🇩🇪,Germany,1166,1,0,0,1,1,2,0,0.08,0.08,0.15,0.15,22,9.1%,active
toprak,Ömer,Toprak,🇹🇷,Turkey,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,inactive
weigl,Julian,Weigl,🇩🇪,Germany,1629,1,0,0,2,2,3,0,0.06,0.11,0.17,0.17,37,8.1%,inactive
witsel,Axel,Witsel,🇧🇪,Belgium,3215,4,5,5,7,12,16,0,0.11,0.34,0.45,0.45,78,20.5%,active
wolf,Marius,Wolf,🇩🇪,Germany,11,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
zagadou,Dan-Axel,Zagadou,🇫🇷,France,1424,1,1,1,1,2,3,0,0.06,0.13,0.19,0.19,39,7.7%,active
