id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,523,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,8,0.0%,active
alcacer,Paco,Alcácer,🇪🇸,Spain,113,0,1,1,0,1,1,0,0.00,0.80,0.80,0.80,1,100.0%,inactive
balerdi,Leonardo,Balerdi,🇦🇷,Argentina,8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
brandt,Julian,Brandt,🇩🇪,Germany,490,2,3,3,2,5,7,0,0.37,0.92,1.29,1.29,8,87.5%,active
bruun-larsen,Jacob,Bruun Larsen,🇩🇰,Denmark,21,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,inactive
burki,Roman,Bürki,🇨🇭,Switzerland,720,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,10,0.0%,active
can,Emre,Can,🇩🇪,Germany,178,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,30,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
delaney,Thomas,Delaney,🇩🇰,Denmark,244,0,0,0,1,1,1,0,0.00,0.37,0.37,0.37,2,50.0%,active
gotze,Mario,Götze,🇩🇪,Germany,74,0,1,1,0,1,1,0,0.00,1.22,1.22,1.22,2,50.0%,active
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,550,0,0,1,2,3,3,0,0.00,0.49,0.49,0.49,7,42.9%,active
haaland,Erling,Haaland,🇳🇴,Norway,180,2,0,0,0,0,2,0,1.00,0.00,1.00,1.00,2,100.0%,active
hakimi,Achraf,Hakimi,🇲🇦,Morocco,707,4,0,0,1,1,5,0,0.51,0.13,0.64,0.64,10,50.0%,active
hazard,Thorgan,Hazard,🇧🇪,Belgium,425,0,0,0,1,1,1,0,0.00,0.21,0.21,0.21,6,16.7%,active
hummels,Mats,Hummels,🇩🇪,Germany,720,0,0,0,1,1,1,0,0.00,0.13,0.13,0.13,10,10.0%,active
piszczek,Łukasz,Piszczek,🇵🇱,Poland,362,0,0,0,1,1,1,0,0.00,0.25,0.25,0.25,4,25.0%,active
reus,Marco,Reus,🇩🇪,Germany,360,0,1,1,0,1,1,0,0.00,0.25,0.25,0.25,5,20.0%,active
reyna,Gio,Reyna,🇺🇸,United States,43,0,1,1,0,1,1,0,0.00,2.09,2.09,2.09,2,50.0%,active
sancho,Jadon,Sancho,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,644,2,2,2,0,2,4,0,0.28,0.28,0.56,0.56,9,44.4%,active
schmelzer,Marcel,Schmelzer,🇩🇪,Germany,1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
schulz,Nico,Schulz,🇩🇪,Germany,225,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,active
weigl,Julian,Weigl,🇩🇪,Germany,340,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,6,0.0%,inactive
witsel,Axel,Witsel,🇧🇪,Belgium,610,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,8,0.0%,active
zagadou,Dan-Axel,Zagadou,🇫🇷,France,286,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5,0.0%,active
