id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,270,0,1,1,0,1,1,0,0.00,0.33,0.33,0.33,6,16.7%,active
alcacer,Paco,Alcácer,🇪🇸,Spain,90,1,0,0,0,0,1,0,1.00,0.00,1.00,1.00,2,50.0%,inactive
brandt,Julian,Brandt,🇩🇪,Germany,180,2,2,2,0,2,4,0,1.00,1.00,2.00,2.00,4,100.0%,active
bruun-larsen,Jacob,Bruun Larsen,🇩🇰,Denmark,65,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,inactive
can,Emre,Can,🇩🇪,Germany,2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
gotze,Mario,Götze,🇩🇪,Germany,25,0,0,0,1,1,1,0,0.00,3.60,3.60,3.60,1,100.0%,inactive
haaland,Erling,Haaland,🇳🇴,Norway,45,1,0,0,0,0,1,0,2.00,0.00,2.00,2.00,2,50.0%,active
hakimi,Achraf,Hakimi,🇲🇦,Morocco,133,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,inactive
hazard,Thorgan,Hazard,🇧🇪,Belgium,222,0,1,1,0,1,1,0,0.00,0.41,0.41,0.41,4,25.0%,active
hitz,Marwin,Hitz,🇨🇭,Switzerland,270,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,6,0.0%,active
hummels,Mats,Hummels,🇩🇪,Germany,180,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,active
piszczek,Łukasz,Piszczek,🇵🇱,Poland,180,0,1,1,0,1,1,0,0.00,0.50,0.50,0.50,4,25.0%,active
reus,Marco,Reus,🇩🇪,Germany,166,1,0,0,0,0,1,0,0.54,0.00,0.54,0.54,4,25.0%,active
reyna,Gio,Reyna,🇺🇸,United States,25,1,0,0,0,0,1,0,3.60,0.00,3.60,3.60,2,50.0%,active
sancho,Jadon,Sancho,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,255,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,6,0.0%,active
schulz,Nico,Schulz,🇩🇪,Germany,257,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5,0.0%,active
weigl,Julian,Weigl,🇩🇪,Germany,180,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,inactive
witsel,Axel,Witsel,🇧🇪,Belgium,270,0,0,0,2,2,2,0,0.00,0.67,0.67,0.67,6,33.3%,active
zagadou,Dan-Axel,Zagadou,🇫🇷,France,155,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
