id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
bornemann,Timo,Bornemann,🇩🇪,Germany,33,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,reserve
brandt,Julian,Brandt,🇩🇪,Germany,180,0,1,1,1,2,2,0,0.00,1.00,1.00,1.00,2,100.0%,active
burki,Roman,Bürki,🇨🇭,Switzerland,45,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
collins,Nnamdi,Collins,🇩🇪,Germany,63,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,reserve
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,180,0,1,1,0,1,1,0,0.00,0.50,0.50,0.50,2,50.0%,active
dams,Niklas,Dams,🇩🇪,Germany,45,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,reserve
finnsson,Kolbeinn,Finnsson,🇮🇸,Iceland,72,0,0,0,0,0,0,2,0.00,0.00,0.00,-2.50,1,0.0%,reserve
gurpuz,Göktan,Gürpüz,🇹🇷,Turkey,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,reserve
haaland,Erling,Haaland,🇳🇴,Norway,45,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
hippe,Maximilian,Hippe,🇩🇪,Germany,45,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,reserve
hitz,Marwin,Hitz,🇨🇭,Switzerland,45,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
hober,Marco,Hober,🇩🇪,Germany,45,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,reserve
knauff,Ansgar,Knauff,🇩🇪,Germany,135,1,0,0,0,0,1,0,0.67,0.00,0.67,0.67,2,50.0%,active
kobel,Gregor,Kobel,🇨🇭,Switzerland,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
makreckis,Cebrail,Makreckis,🇱🇻,Latvia,45,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,reserve
maloney,Lennard,Maloney,🇺🇸,United States,135,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,reserve
papadopoulos,Antonios,Papadopoulos,🇩🇪,Germany,180,0,0,0,0,0,0,1,0.00,0.00,0.00,-0.50,0,0.0%,reserve
pasalic,Marco,Pašalić,🇭🇷,Croatia,45,1,0,0,0,0,1,0,2.00,0.00,2.00,2.00,1,100.0%,reserve
passlack,Felix,Passlack,🇩🇪,Germany,180,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
pfanne,Franz,Pfanne,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,reserve
pherai,Immanuel,Pherai,🇳🇱,Netherlands,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,reserve
raschl,Tobias,Raschl,🇩🇪,Germany,90,0,1,1,0,1,1,0,0.00,1.00,1.00,1.00,1,100.0%,active
reus,Marco,Reus,🇩🇪,Germany,180,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
reyna,Gio,Reyna,🇺🇸,United States,45,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
schulz,Nico,Schulz,🇩🇪,Germany,180,0,0,0,1,1,1,0,0.00,0.50,0.50,0.50,2,50.0%,active
tachie,Richmond,Tachie,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,reserve
tattermusch,Ted,Tattermusch,🇩🇪,Germany,12,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,reserve
taz,Berkan,Taz,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,reserve
thaqi,Albin,Thaqi,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,reserve
tigges,Steffen,Tigges,🇩🇪,Germany,135,1,0,0,0,0,1,0,0.67,0.00,0.67,0.67,2,50.0%,active
unbenhaun,Luca,Unbenhaun,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,active
wolf,Marius,Wolf,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
