id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,1519,1,0,0,1,1,2,0,0.06,0.06,0.12,0.12,40,5.0%,active
bellingham,Jude,Bellingham,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,921,1,3,3,1,4,5,0,0.10,0.39,0.49,0.49,23,21.7%,active
brandt,Julian,Brandt,🇩🇪,Germany,891,1,1,1,2,3,4,0,0.10,0.30,0.40,0.40,22,18.2%,active
burki,Roman,Bürki,🇨🇭,Switzerland,1350,0,0,0,2,2,2,0,0.00,0.13,0.13,0.13,30,6.7%,active
can,Emre,Can,🇩🇪,Germany,1052,1,1,1,3,4,5,0,0.09,0.34,0.43,0.43,25,20.0%,active
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,504,0,0,0,1,1,1,0,0.00,0.18,0.18,0.18,10,10.0%,active
delaney,Thomas,Delaney,🇩🇰,Denmark,808,0,1,2,1,3,3,0,0.00,0.33,0.33,0.33,22,13.6%,active
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,1113,3,5,6,1,7,10,0,0.24,0.57,0.81,0.81,28,35.7%,active
haaland,Erling,Haaland,🇳🇴,Norway,1116,17,3,3,0,3,20,1,1.37,0.24,1.61,1.53,34,58.8%,active
hazard,Thorgan,Hazard,🇧🇪,Belgium,616,3,3,3,1,4,7,0,0.44,0.58,1.02,1.02,21,33.3%,active
hitz,Marwin,Hitz,🇨🇭,Switzerland,540,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,15,0.0%,active
hummels,Mats,Hummels,🇩🇪,Germany,1755,3,0,1,2,3,6,0,0.15,0.15,0.31,0.31,41,14.6%,active
knauff,Ansgar,Knauff,🇩🇪,Germany,8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
meunier,Thomas,Meunier,🇧🇪,Belgium,1260,0,2,3,2,5,5,0,0.00,0.36,0.36,0.36,34,14.7%,active
morey,Mateu,Morey,🇪🇸,Spain,401,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5,0.0%,active
moukoko,Youssoufa,Moukoko,🇩🇪,Germany,282,1,0,0,1,1,2,0,0.32,0.32,0.64,0.64,7,28.6%,active
passlack,Felix,Passlack,🇩🇪,Germany,518,1,0,0,0,0,1,0,0.17,0.00,0.17,0.17,10,10.0%,active
piszczek,Łukasz,Piszczek,🇵🇱,Poland,320,1,0,0,0,0,1,0,0.28,0.00,0.28,0.28,4,25.0%,active
reinier,,Reinier,🇧🇷,Brazil,145,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,active
reus,Marco,Reus,🇩🇪,Germany,1185,4,1,1,6,7,11,0,0.30,0.53,0.84,0.84,25,44.0%,active
reyna,Gio,Reyna,🇺🇸,United States,1369,4,5,5,5,10,14,0,0.26,0.66,0.92,0.92,32,43.8%,active
sancho,Jadon,Sancho,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,1253,3,6,7,2,9,12,2,0.22,0.65,0.86,0.72,25,48.0%,active
schulz,Nico,Schulz,🇩🇪,Germany,279,0,0,0,1,1,1,0,0.00,0.32,0.32,0.32,4,25.0%,active
witsel,Axel,Witsel,🇧🇪,Belgium,1464,1,0,1,1,2,3,0,0.06,0.12,0.18,0.18,35,8.6%,active
zagadou,Dan-Axel,Zagadou,🇫🇷,France,120,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
